1,1. Site Survey & Draft,รับโจทย์ / เข้าสำรวจหน้างาน / บันทึกความต้องการลูกค้า (Requirement),1
2,1. Site Survey & Draft,วิเคราะห์ปัญหาหลัก (Pain Point),1
3,1. Site Survey & Draft,อัปเดตข้อมูลให้ทีมภายในทราบ ภายใน 1-3 วันแรก,1
4,1. Site Survey & Draft,ทำร่างโซลูชัน (Draft Solution),1
5,1. Site Survey & Draft,ทดสอบอุปกรณ์เซนเซอร์และระบบรวม (Complete Solution),1
6,2. Verify Solution,ประชุมรีวิวความถูกต้องทางเทคนิคภายใน (Internal Verification),2
7,2. Verify Solution,ปรับปรุงแก้ไขจุดบกพร่องของโซลูชันให้สมบูรณ์ 100%,2
8,3. Presentation,ส่งมอบโซลูชันที่ Verify แล้วให้ทีม Sale / Present ผู้บริหาร,3
9,3. Presentation,นำเสนอแผนงาน/โซลูชันให้ลูกค้าฟัง,3
10,3. Presentation,รับ Feedback เพื่อปรับปรุง,3
11,3. Presentation,ลูกค้ายืนยันความเข้าใจโซลูชันว่าตรงความต้องการ,3
12,4. BOM List & Costing,เข้าสำรวจเครื่องจักรโดยละเอียดเพื่อทำ BOM,4
13,4. BOM List & Costing,ถอดแบบ BOM แยก SW/HW ให้ชัดเจน,4
14,4. BOM List & Costing,ลูกค้าเซ็น/อีเมลยืนยันสเปก BOM,4
15,4. BOM List & Costing,ประเมินราคา/นำ BOM ไปคำนวณต้นทุนและราคาขาย,4
16,5. Executive Review,รวบรวมข้อมูลทำ Proposal,5
17,5. Executive Review,ตรวจสอบและอนุมัติขั้นสุดท้ายโดยผู้บริหาร (Final Review),5
18,5. Executive Review,จัดส่ง Proposal ฉบับสมบูรณ์ให้ Sale / ลุกค้า,5
19,6. Post-Submission,ติดตามผลจากลูกค้า (Follow-up),6
20,6. Post-Submission,อัปเดตสถานะสุดท้าย (รอ/ ชนะ/ แพ้-ยกเลิก),6
